label,param_key,ResNet_acc,ResNet_conf,ViT_acc,ViT_conf,N
baseline,base,0.8908,0.9395022972106933,0.9389,0.9390810913085937,10000
permute_2x2,perm2,0.4575,0.7662536045074463,0.5353,0.7341669174194336,10000
permute_4x4,perm4,0.2838,0.7444952419281006,0.3848,0.6931615852355957,10000
permute_8x8,perm8,0.2112,0.7467300926208497,0.2194,0.7198681885719299,10000
occlude_center_8,occ8,0.7195,0.8631430372238159,0.8548,0.8788681879997253,10000
occlude_center_16,occ16,0.4643,0.7684731044769287,0.4879,0.7072350160598755,10000
